monthly_income,house_rent,emi,electricity,mobile,internet,card,others_bill,taxes,groceries,health,pub_tran,pri_tran,others
218261,13419,9445,1465,996,643,7424,1496,43652.2,3237,14034,983,1940,2330
250181,14457,33490,5616,728,874,6362,1627,50036.2,17409,2754,1813,4551,440
351097,67600,29767,1089,858,429,22772,512,70219.4,4177,10073,512,292,1691
325139,76102,46057,1863,395,519,15839,781,65027.8,15647,5748,1588,3991,4598
181829,33085,15210,1622,957,645,4538,82,21819.48,19712,919,1532,621,1835
281836,50654,41043,5495,761,892,6644,1822,56367.2,11428,10018,171,2316,1018
448974,105723,86755,1802,327,383,23778,1714,89794.8,3433,14933,490,1909,1111
475625,133114,27946,1791,264,820,31488,1400,95125,12193,10899,265,4410,5018
212283,4598,36587,1959,829,886,4350,334,42456.6,3856,6964,1482,2948,4617
206769,42982,3364,1615,780,191,69,658,41353.8,19916,3554,1031,1559,4989
47065,118,9949,3362,314,602,6598,101,2823.9,8861,10644,144,842,3626
233165,65185,55241,424,368,434,25153,1311,46633,15029,11415,1733,1495,6536
109299,28716,4318,3362,346,760,7169,824,13115.88,12062,12584,1786,986,5954
435822,78137,56088,818,550,995,53742,1054,87164.4,6963,5779,1158,3241,513
21534,3250,2780,2370,979,763,2372,1337,1292.04,19879,464,636,646,3126
497879,139133,77015,4557,898,995,13068,996,99575.8,13067,8660,830,2419,9591
50397,8609,7398,2976,830,62,2450,153,3023.82,13428,9332,862,2199,1985
267750,35371,2452,2853,225,215,13138,559,53550,17834,463,1444,1508,8742
363531,83021,87208,5277,575,133,8320,1914,72706.2,10134,3897,67,2686,1174
273160,20805,33193,4235,436,957,1506,1576,54632,14187,7167,1599,364,734
493005,7857,79401,1344,694,618,12280,1176,98601,17027,11455,1277,2607,6641
65591,11620,13507,2087,448,160,1648,942,3935.46,15259,4002,774,1941,5525
230884,8177,20359,3835,891,257,24568,693,46176.8,14905,12208,399,2983,5850
33247,6082,6669,4878,856,424,3167,231,1994.82,15971,10024,1379,1327,9116
34300,6658,2124,5921,443,527,2548,1144,2058,7080,4302,1762,3356,2803
477281,89941,83220,2266,958,357,67015,1208,95456.2,18852,12052,781,2064,9355
92798,11826,5015,2656,596,374,9994,1479,5567.88,10628,598,249,1769,8825
19268,0,465,5269,563,570,1427,1852,1156.08,10165,8575,1187,4614,4247
358951,82428,51116,5972,580,8,32775,387,71790.2,3685,11055,884,1314,1828
284329,58031,21951,2550,939,196,16603,1950,56865.8,18668,7451,1864,1228,8867
204776,53904,32063,3787,379,116,8916,631,40955.2,6932,6783,1290,4229,5134
227851,5495,32743,441,245,9,6917,863,45570.2,3162,3052,383,2939,1338
442315,28481,26521,1303,588,861,36553,1249,88463,17001,3847,1408,3433,9965
411787,11267,54431,2454,320,518,7657,1647,82357.4,11629,14040,1288,1506,9988
246584,6743,10731,2314,466,348,20679,1218,49316.8,3571,12580,536,2589,1499
48044,5648,2360,4924,991,705,6088,808,2882.64,15064,5909,1639,4872,7267
323358,48773,63094,3908,693,403,20505,1049,64671.6,16865,2608,782,3933,2449
464444,57042,18423,1268,640,634,42977,1987,92888.8,16472,8502,1788,3197,9941
386896,49476,17568,4225,537,574,54191,1217,77379.2,2389,5661,569,1735,2692
58984,13004,14643,4258,706,3,7815,1042,3539.04,12437,4603,23,3398,6037
312918,43730,3934,3035,221,795,31682,854,62583.6,2556,12904,1607,2793,84
274712,28948,8172,1104,681,327,13642,536,54942.4,8549,4372,1395,4826,3693
130151,10775,27358,1634,388,761,16893,558,15618.12,4000,7089,1628,1176,2262
465808,69093,66313,4284,860,511,33782,710,93161.6,5525,806,966,4449,1215
470779,69123,19763,967,726,930,8212,1287,94155.8,11302,11731,1150,1395,1691
143767,16535,35186,684,849,129,17448,1538,17252.04,8142,11815,1197,2684,4434
134375,954,31170,3424,238,936,13809,1494,16125,7328,9461,17,974,4652
189262,46562,20461,1908,862,923,26559,238,22711.44,14511,1549,1474,2713,2849
146330,23544,2439,3554,684,586,18283,288,17559.6,3276,7826,1086,4599,7918
490754,41269,7804,3740,957,483,50118,367,98150.8,9327,11845,1646,4022,3765
311648,80674,47594,3048,791,840,46387,411,62329.6,11592,6558,1175,3290,7055
174231,42462,13212,312,303,357,25089,1045,20907.72,8287,11278,1875,1680,6237
23986,3127,5269,3307,739,384,3574,1890,1439.16,6225,8832,1694,694,2394
71858,12760,1989,2507,339,253,40,353,4311.48,15762,5083,473,2235,3475
139312,11559,7868,5703,961,922,6981,1565,16717.44,7810,8971,1530,4269,4213
22666,6604,1066,4467,564,834,262,1582,1359.96,17792,1523,1957,431,7839
310804,68931,24604,2445,303,166,46373,419,62160.8,11648,1509,1774,3133,8596
144633,25389,22135,2165,774,712,8145,1338,17355.96,19736,7776,749,1167,4141
298998,66381,37918,400,488,679,41992,781,59799.6,11123,10214,1834,2427,2548
336649,99468,50849,4379,778,795,34587,328,67329.8,12076,13126,1031,234,6084
114488,13731,11006,4676,666,468,15358,1493,13738.56,4947,11931,223,3520,9089
193323,54512,10680,5278,987,859,16511,872,23198.76,6964,2741,199,815,6613
294806,51024,55037,1612,184,492,18962,781,58961.2,8145,10160,132,1998,7529
280536,3832,58914,3096,933,919,30659,1486,56107.2,14494,14205,847,160,3273
40535,8257,9925,5004,820,337,4620,1463,2432.1,10603,8917,538,2246,7091
481819,144179,107255,749,871,50,29428,1687,96363.8,16936,10029,381,3399,4071
385713,77994,10349,3739,675,55,24321,737,77142.6,18504,2398,1214,937,1024
324400,94202,75079,3801,686,72,9085,1271,64880,19864,10252,230,4614,591
361279,43481,60820,3467,996,793,2806,1840,72255.8,15853,7035,704,2983,3951
399622,2581,74996,5680,367,599,35047,1194,79924.4,10200,13378,574,3564,4796
307366,75118,34553,5931,403,51,23460,748,61473.2,9808,7322,900,2189,5529
87373,25706,5948,420,352,124,5687,747,5242.38,18883,1401,1346,2882,2024
482791,123714,14498,3737,250,261,60157,1794,96558.2,8029,14478,51,3499,3198
133684,8418,18991,4156,510,954,18171,1302,16042.08,12889,11164,336,825,2761
499570,84363,90510,1375,890,884,10440,147,99914,6240,1768,992,3233,9591
487867,123607,100934,4713,860,779,43368,620,97573.4,6496,3227,594,3583,20
466551,63044,59790,3022,327,574,49131,142,93310.2,4974,208,1923,4701,3126
283109,79955,7660,1001,425,547,2179,1834,56621.8,2754,5670,332,1464,911
34538,1036,238,3648,461,520,176,975,2072.28,12339,7119,1458,4764,9252
380210,10024,19920,3968,791,329,35891,70,76042,17084,402,1777,3819,4012
211664,63288,46659,3565,559,322,5665,1952,42332.8,15073,10702,682,344,9510
385396,109236,74874,5412,940,240,40981,310,77079.2,8090,13660,694,2115,8872
149182,7435,10349,320,437,284,17036,637,17901.84,9880,3256,473,2298,6421
482525,70601,46350,2746,802,838,3390,466,96505,14793,13603,808,1024,8848
168338,22880,11643,2549,674,601,8359,593,20200.56,14248,13052,1694,3700,4505
194064,55335,28274,2813,550,263,25637,40,23287.68,6534,13014,1530,3507,3172
224020,3407,45013,3522,366,298,9064,1937,44804,5679,5775,802,321,2853
108806,639,7899,5291,847,204,1781,898,13056.72,18770,3835,719,4087,1445
410126,32940,39913,1482,619,290,55018,770,82025.2,19869,3731,824,3048,3880
383133,5666,45819,2657,176,210,7083,355,76626.6,8115,11916,1431,3891,1129
100982,4354,16632,2851,879,365,9588,1167,12117.84,10328,7567,1844,4630,8944
131626,25092,27144,2373,571,789,17985,1706,15795.12,14460,8341,797,4244,1858
129176,10109,12321,365,163,463,19265,278,15501.12,4049,7755,378,1721,5747
403422,101190,94792,4658,650,718,58794,1494,80684.4,7238,1814,763,3336,1608
228126,26505,23485,771,803,321,33489,654,45625.2,2856,13467,720,198,2999
228969,36713,2860,2514,474,357,7242,968,45793.8,19527,861,204,3153,1426
132409,7746,14919,3525,473,916,11528,1662,15889.08,4837,10417,357,4174,8205
33419,2590,569,642,716,93,242,57,2005.14,8985,13944,248,1977,4583
453852,40522,73947,1017,852,710,59992,167,90770.4,4266,13035,902,175,4209
263618,3880,9586,2760,434,862,6905,1653,52723.6,10761,293,904,2383,9979
255310,43454,51986,4036,238,168,4638,1189,51062,18581,9256,1172,4028,5574
60015,10771,7928,3555,194,296,4372,372,3600.9,5445,7558,669,723,7414
258550,68321,23055,3565,793,944,31369,81,51710,12697,6819,1508,2540,4984
132096,22449,28807,5634,647,738,17837,1893,15851.52,12948,12653,612,2162,765
117059,14799,20384,4389,647,515,4171,133,14047.08,15540,1263,789,2496,7387
195340,49048,47177,2830,727,97,22866,363,23440.8,10903,9479,942,1321,8585
120687,3990,28925,3932,940,704,14373,1508,14482.44,11118,5771,1341,3387,3416
360083,54362,68625,1355,985,777,45373,1069,72016.6,18330,12159,510,2380,3605
421357,53997,14242,314,809,349,48455,261,84271.4,15914,14293,286,4090,4199
221428,50341,39978,3689,294,735,3501,468,44285.6,7503,5961,387,2922,2553
115878,19073,16433,3614,667,578,1186,1658,13905.36,4352,3244,777,4732,1580
212982,36863,33282,316,231,649,1381,1245,42596.4,11183,6070,1821,4074,4581
459260,14549,76519,2881,784,840,47018,91,91852,5426,14917,733,945,1737
208286,18259,43738,2079,316,400,23197,1939,41657.2,10316,10886,1000,3693,2558
259002,56920,43578,2249,898,750,12616,18,51800.4,14718,4570,902,2762,9198
260396,75515,42797,380,254,450,18288,269,52079.2,19244,7445,142,1804,5188
174899,20316,4671,3379,951,474,11858,576,20987.88,10899,2372,1426,2026,10
459036,93860,24133,1318,637,820,12225,1754,91807.2,3314,8912,585,2334,7578
334767,24624,50317,1079,899,418,29147,863,66953.4,6554,5608,1190,486,4890
484950,46705,108745,2124,459,3,1752,668,96990,3057,5446,1882,2345,4539
347594,89326,65950,4164,231,323,26313,414,69518.8,8886,6559,1794,1605,2467
365570,26756,59612,2769,243,368,34722,1688,73114,10121,12292,1634,3045,4024
389989,60390,64873,2813,470,863,21655,1270,77997.8,18205,1329,563,2929,5531
425515,68369,86778,2430,492,613,33305,1734,85103,17529,2972,1403,2713,9734
53585,5285,12850,624,946,394,7582,1766,3215.1,11361,14067,1233,2062,4191
381369,9589,52508,3790,958,555,18774,1325,76273.8,9885,3848,1879,3479,6085
74044,14708,2416,5446,510,118,9981,1971,4442.64,3573,11036,780,1361,6670
445773,73181,38379,976,980,699,59531,15,89154.6,10511,6400,1067,3527,6486
452296,123711,15231,2311,215,742,31972,619,90459.2,10562,7087,464,4200,1623
119556,10889,21849,5188,773,965,6216,502,14346.72,9177,3551,761,1954,3373
12693,0,203,3916,578,189,427,1418,0,12655,813,1552,2843,3183
498219,15994,121880,3433,550,994,3370,1809,99643.8,9100,4467,1354,2716,6107
367403,101039,31676,3004,320,621,1259,1899,73480.6,3616,7472,656,4334,4631
253307,26639,22056,1494,908,415,5826,695,50661.4,6678,14475,1331,4717,53
210235,17205,41028,3375,727,813,20459,1001,42047,6978,8397,1712,4285,2740
35939,7525,8707,1204,217,790,3030,183,2156.34,5900,4234,850,2305,9783
452141,32930,85483,4897,641,105,4695,440,90428.2,2870,13545,70,1105,6421
446157,73313,55535,5194,183,164,32864,580,89231.4,18683,3168,914,192,9449
162906,28315,26040,3204,150,637,12765,1273,19548.72,4269,8930,1915,3436,3831
28047,1932,5150,3600,300,345,1319,375,1682.82,11125,7897,1313,397,8389
298249,27304,46978,1423,933,97,25290,1985,59649.8,6328,12093,220,795,6305
85766,3535,6833,5538,407,485,2494,1481,5145.96,18457,2719,1693,2936,4274
418923,96058,4752,4616,899,330,51898,1753,83784.6,9455,10023,617,3515,7146
425192,87876,24507,3357,777,369,4043,1111,85038.4,19753,12188,1534,2515,2798
54262,3446,3785,2570,737,441,5394,345,3255.72,19839,9670,540,4385,4664
397261,13403,41495,3024,944,119,5139,1807,79452.2,13008,755,485,166,4548
295920,80052,60886,2558,168,852,32630,728,59184,9709,11305,1199,259,1184
171152,19091,5023,4162,945,298,16968,1893,20538.24,19097,13092,391,746,8876
138376,7959,982,1230,184,855,14762,389,16605.12,9465,4542,579,2752,9058
470058,96090,79841,3946,520,142,2897,179,94011.6,7436,7116,91,4268,3478
464589,36701,16146,5281,640,706,2030,636,92917.8,9927,8708,1331,4935,9389
147848,3385,11201,4657,985,641,15669,375,17741.76,2815,5570,586,4411,3966
102787,23020,16910,1571,966,966,593,182,12334.44,12419,9145,337,2447,9503
137948,33690,23031,4112,390,900,1831,843,16553.76,11370,3917,1620,4207,9779
65016,10367,7252,1097,156,948,8547,328,3900.96,7276,11538,1902,4652,9076
412690,65030,82850,5676,698,940,14362,1968,82538,9790,6126,57,1822,3104
461269,105185,27332,3434,520,615,42636,489,92253.8,16309,2487,60,646,4548
31959,3636,2282,3763,814,92,3118,199,1917.54,12690,4431,423,4086,9961
146602,32991,18330,2887,906,296,6599,695,17592.24,8505,2474,1631,1330,6069
235928,47663,15365,716,399,446,32879,478,47185.6,6572,8850,272,1412,8302
391245,65886,10108,4433,264,479,28310,808,78249,3167,5915,225,808,725
275892,24127,68896,2655,702,733,37238,1759,55178.4,10448,11331,1360,1603,6213
238576,57692,42553,5241,486,711,13626,1478,47715.2,15941,4029,1550,2825,8694
23545,4277,2925,1197,723,799,844,991,1412.7,4435,11378,723,2880,3047
399803,37500,3625,352,830,873,34941,1016,79960.6,4674,1309,1382,998,3843
469415,33785,38237,905,291,257,3078,1897,93883,4451,3184,906,1450,6024
175838,18610,1223,3977,634,521,1383,1463,21100.56,14754,7827,1362,2988,9565
345674,89126,59303,4847,587,682,39489,1912,69134.8,12355,13623,863,1104,2020
365701,94979,65197,760,919,374,3970,1624,73140.2,11004,4364,837,1321,658
71087,15229,7110,1074,237,426,361,1760,4265.22,17416,1585,337,839,7602
499055,7170,74693,5556,612,100,70614,498,99811,16611,10409,1512,4316,3204
78840,13303,13251,5791,197,621,2811,1982,4730.4,10689,12773,376,4466,6543
128451,6207,4992,4330,630,758,19206,629,15414.12,10343,5762,1711,1778,9689
457600,35187,79182,3627,972,834,14006,1179,91520,19509,6494,1292,23,1926
323149,65034,57966,5456,673,243,21279,1482,64629.8,8526,5803,1654,3411,5633
449792,132965,29024,3622,360,22,13715,1694,89958.4,3397,12928,153,3346,3230
49353,13753,4787,2994,393,353,6520,182,2961.18,2280,13408,1031,260,8608
203075,38090,23202,3818,388,465,24195,435,40615,14752,13687,281,4003,3056
224283,64922,53878,5678,346,224,12607,1737,44856.6,9760,1933,1904,2775,3198
324877,76768,51524,5742,918,864,47328,1601,64975.4,11668,1777,1421,4596,6842
75318,17509,11140,784,384,443,455,45,4519.08,18656,6940,1269,563,5854
251025,68653,36067,4487,336,976,33418,875,50205,9624,8206,1960,1390,5970
492690,129626,9360,1487,862,773,53664,1795,98538,9506,940,1157,1159,389
426880,48291,98228,4027,764,268,46563,1941,85376,2520,11124,1679,3309,6573
77172,4042,6451,5754,439,532,3609,1964,4630.32,3726,10992,1250,1771,2855
226688,62574,12941,4296,370,990,32393,243,45337.6,7228,13200,1057,2040,6910
266951,37201,15993,3292,646,313,11254,155,53390.2,9287,10246,1319,2759,3242
103264,26746,14620,2009,645,119,9272,1417,12391.68,11667,14910,474,2120,9069
256458,14016,57735,2289,451,980,16102,961,51291.6,6997,2678,1163,2543,3017
298880,25022,20193,4573,336,480,42273,248,59776,7386,13862,384,4190,8715
235281,27938,51559,4645,599,923,19029,944,47056.2,5921,3163,1308,4155,2819
122859,35712,21248,5160,561,119,2053,1630,14743.08,17320,3491,1232,1458,1138
384325,61720,45852,3938,760,709,19898,1278,76865,17730,9562,1105,3879,8240
404070,105514,5027,3014,394,135,33077,1385,80814,10852,11016,1456,1478,1796
362228,56805,63410,4486,462,76,30617,1871,72445.6,19053,14116,1783,24,380
441839,76478,4260,638,968,353,21384,1736,88367.8,8123,2449,1423,2756,1901
279536,82994,37596,1961,645,57,5121,818,55907.2,17533,10219,1378,2876,3942
327824,12161,9012,4564,171,935,32531,1962,65564.8,14019,14430,648,913,1954
267426,20689,25823,3994,217,85,22106,645,53485.2,12044,3993,954,2886,6276
187789,29163,8315,5175,541,0,6897,376,22534.68,3645,2660,363,3647,7940
228164,60924,47027,469,465,76,21878,152,45632.8,11621,4515,1318,4457,9415
323003,74308,78167,4533,214,960,48373,1790,64600.6,5441,7155,1445,3406,5365
135657,35592,18258,3399,953,521,9806,771,16278.84,2919,7750,1029,4087,6626
245167,63745,25099,4914,878,443,9519,239,49033.4,9382,14286,1881,4908,3638
167381,1211,35891,5817,690,580,16441,1483,20085.72,7426,11366,592,1075,2240
490671,131301,36992,3312,854,147,34016,1175,98134.2,15710,12013,855,3102,8206
204806,53436,31376,2910,717,573,26025,1463,40961.2,2411,816,585,183,589
80467,15774,19582,2773,999,524,6036,602,4828.02,9419,12738,1503,3144,7083
193734,14345,10977,5555,361,185,16901,239,23248.08,4858,2185,1850,3218,4252
108506,3185,23466,4061,899,676,2077,1206,13020.72,11412,3549,1538,123,9841
119751,31819,26694,2988,349,521,6384,309,14370.12,12482,2996,1938,3909,7681
391050,47779,47376,5104,327,770,48898,258,78210,4750,9106,1250,1717,2745
415904,82421,33978,1590,572,161,36441,1483,83180.8,8314,11517,666,991,9542
297486,65584,9218,2335,814,289,37917,430,59497.2,19137,10877,1304,1466,5897
178229,19950,21788,406,611,925,18897,499,21387.48,19870,11674,1748,829,310
471079,58032,20501,2907,193,420,6608,1821,94215.8,14545,8909,705,677,7621
378452,99273,77989,2485,580,195,43244,75,75690.4,14438,11664,1363,3629,1548
455299,28036,103733,1988,317,33,17778,296,91059.8,15195,2181,1430,4887,1159
116081,5820,15210,305,436,671,9364,1385,13929.72,15741,13363,891,609,9818
468949,3052,74225,822,858,596,8791,182,93789.8,11632,7140,1598,2674,3515
99045,11609,12721,3643,486,569,14851,1082,5942.7,5371,3314,441,3034,1738
44698,7397,10997,4195,735,872,3504,1575,2681.88,16572,9098,736,718,8408
120078,2302,29508,365,320,407,17880,1580,14409.36,9458,13497,1841,90,9097
352767,67819,42653,3710,332,776,39474,1429,70553.4,16754,2495,391,2686,9036
32671,9799,4758,3281,165,296,3117,526,1960.26,15763,13876,1911,236,2965
428400,15620,40950,4893,645,919,6771,1755,85680,17097,5637,434,3243,9191
365528,30461,8916,5888,729,536,29278,1808,73105.6,18283,9172,100,3728,8887
445323,20750,65911,3115,986,35,16238,1210,89064.6,12122,5878,1271,482,9389
96202,122,23797,5396,703,263,8626,1899,5772.12,16367,12675,1321,1689,1425
61663,9472,4398,2317,259,381,2658,1048,3699.78,9165,8662,989,2269,4680
25708,3727,2452,2042,702,113,3699,298,1542.48,9346,3852,1854,1513,1877
364050,57602,20243,3809,455,616,35091,1215,72810,5770,13769,1438,3291,8508
321955,25523,29379,4381,155,604,35663,690,64391,12444,13113,104,1255,2543
143883,30766,30740,3834,992,600,1531,572,17265.96,12354,6125,58,4751,9651
328394,66060,19984,5436,842,442,11358,1964,65678.8,17101,5561,209,2376,5055
122547,9079,50,5885,422,162,15505,1154,14705.64,3091,6437,94,3262,2379
475298,139471,6590,3082,510,37,31623,1784,95059.6,15534,13475,601,1343,2279
396393,60726,40205,662,334,91,45722,675,79278.6,15290,12782,1367,666,7440
44754,10986,594,3581,984,630,781,990,2685.24,15621,6823,50,3208,3600
236814,16532,13105,1934,805,722,34193,503,47362.8,2843,12228,1976,3027,1330
247714,43162,37499,824,249,671,2551,1230,49542.8,19261,13249,900,3930,439
152483,3749,36641,5226,239,100,10515,237,18297.96,8100,5723,500,4262,7063
143983,11353,11628,2022,395,880,12613,191,17277.96,8512,2666,714,4258,3916
470486,112313,42032,719,388,506,8704,1051,94097.2,3561,10855,563,3468,2672
224835,28477,38516,4528,873,178,11410,1130,44967,11303,14074,1728,845,2083
411896,24570,87157,4164,230,283,6438,1246,82379.2,15623,3407,1163,3508,9533
94896,20837,1476,1367,264,951,6518,1403,5693.76,18587,11100,1125,1024,3089
487095,142509,119558,1700,425,354,5786,428,97419,12831,2910,918,2225,1757
81295,5336,8032,1719,229,903,4151,83,4877.7,2863,14650,1143,4014,4474
229686,63370,35788,3433,717,296,13199,497,45937.2,15980,12410,307,3552,3497
372833,4551,89973,3936,328,885,6093,236,74566.6,17328,5154,875,3061,8191
283255,68359,26240,4302,458,534,28691,148,56651,14824,1729,472,870,9700
309648,54880,10922,929,710,949,31902,1818,61929.6,15255,379,1470,2291,3853
142874,12916,8066,4716,658,487,19283,850,17144.88,10725,2895,75,691,4361
